ID,Name,Age,Email,Join_Date,Salary,Department
1,Grace,57,grace@mail.com,2022-08-18,55000.0,Admin
4,Isabel,44,isabel@mail.com,2020-10-08,59764.0,IT
5,David,31,davi@mail.com,2022-12-20,78828.0,Marketing
6,Alice,57,alic@mail.com,2022-03-03,60000.0,Marketing
8,Isabel,57,isabel@mail.com,2022-06-10,59764.0,Unknown
9,Bob,60,bob@mail.com,2021-06-08,60000.0,Sales
10,Grace,58,Unknown,2021-07-22,59764.0,Finance
11,Isabel,50,isabe@mail.com,2021-06-15,44000.0,Marketing
12,Henry,44,Unknown,2021-03-28,59764.0,Marketing
15,David,30,david@mail.com,2022-11-16,42606.0,Marketing
18,David,44,david@mail.com,2022-09-25,76000.0,IT
21,Eve,21,eve@mail.com,2023-01-04,79209.0,Sales
23,Bob,55,bob@mail.com,2022-12-02,60000.0,Marketing
24,Henry,49,henry@mail.com,2023-11-27,61050.0,Unknown
27,Bob,22,bob@mail.com,2020-02-14,59764.0,Admin
35,Grace,41,grace@mail.com,2021-09-03,59764.0,IT
38,Frank,42,frank@mail,2022-03-12,59000.0,Sales
40,Charles,36,charles@mail.com,2020-11-19,41000.0,Unknown
42,Jack,44,jack@mail.com,2020-02-21,59764.0,IT
44,Frank,26,frank@mail.com,2020-03-06,59764.0,Unknown
50,Grace,59,grace@mail.com,2023-05-21,60245.0,Unknown
